When I did not speak the truth.,shame
When I could not remember what to say about a presentation task á at an accounts meeting.,shame
When I realized that I was directing the feelings of discontent á with myself at my partner and this way was trying to put the blame á on him instead of sorting out my own feeliings.,shame
"When I was tired and unmotivated, I shouted at my girlfriend and á and brought up negative sides of her character which are actually á not so important.",shame
"When one has been unjust, stupid towards someone else. ",shame
[ Same as above - friends who torture animals.],shame
When I saw my 18 year old son grab an oxygen mask as he had á breathing difficulties.  I had a bad conscience because I had not á stopped smoking.  Medication for the dilation of his breathing á tubes also caused a sense of guilt in me.,shame
"When, as an adult I have been caught lying or behaving badly.",shame
"I lied, to be precise I cancelled a meeting with a good friend.",shame
My elder brother and I have not always had a good relationship á and I feel ashamed of myself as I do not call him to talk to him á nowadays.,shame
I told a friend that I was going to a party and he would not á enjoy himself if he came along.  He understood  that he would not á have fitted in and there was something in that.,shame
"My friend was so intoxicated that the police came and took him á away, and they later contacted his parents.",shame
When my friend and I were discussing the good looks of a guy we á realized that he had been listening.,shame
Nearly caught masturbating.,shame
When I dropped a bottle in the state liquor store and everyboby á started laughing.,shame
The discovery that one has only thought of oneself.,shame
When I promised to help a friend over a weekend and did not keep á the promise.,shame
"When my boyfriend revealed that he knew that I had discovered á things of an important nature about him, I felt ashamed as I had á not mentioned it earlier.",shame
"When I had not prepared my contribution to the group as á thoroughly as the other members, with the result that the á overall result was poor.",shame
"When I met a friend whom I had not seen for a long time and á heard all about her troubles, I thought that I should have got á in touch with her earlier.",shame
One night I had a sexual intercourse with another man.  My sexual á desire and my curiosity had made me jump into bed with him.  I am á ashamed of myself now.,shame
My inability to assert myself positively in a group.,shame
I guess I have often been ashamed after having talked badly of á other people.,shame
Can't think of any.,shame
None.,shame
"When we were at home, my husband and I, he made a remark about á something I had done, in a perfectly friendly manner.  My deed á had been unjust and I knew that my husband was right, therefore my á sense of shame.",shame
Once I arrived two hours late to my work place (a bank) and I was á still feeling feeble and tired.,shame
"I was worried by a task related to my studies which had to be á done in groups of two.  I was talking about it to my friends when á I said something negative, in too abrupt a manner, concerning my á work partner.  I did not quite mean what I said and I felt á ashamed at having been mean enough to criticize him as he is also á a friend of mine.",shame
My little brother was arrested by the police at the railway station after á he had drunk some beer.,shame
"After having quarelled unnecessarily and without any reason, and á having been stupidly cross in every way.",shame
[ Do not know.],shame
[ No response.],shame
"When I overtook a car on the mainroad, misjudging the distance of á an oncoming car and this resulted in tooting and flashing from á the other driver (we could have collided), and I had an á acquaintance in the car with me.",shame
When I forgot my mother's birthday.,shame
[ No response.],shame
[ No response.],shame
[ No response.],shame
[ No response.],shame
I drink wine too often.,shame
"I can not think of any incident when I have felt very ashamed.  á There are small incidents that I am ashamed of, for instance, á not sending money to the children in Ethiopia.",shame
When I boxed my child's ears.,shame
Emptied a bucket of water in a hospital.,shame
When I did not buy what I had promised to.,shame
"I complained about a colleague's behaviour as she goes back on á her word, is often absent and is irresponsible.  I found out that á she was an alcoholic and was trying to fight againt her á addiction.",shame
My mother revealed personal details about me and the á negative aspects of my character to other people when I was á present but unable to defend myself.,shame
When I dated a close girlfriend's boyfriend a few times. He told á me that it was over between them and I accepted it.  When she á found out she finished our friendship.,shame
[ Cannot recall any incident when I felt shame.],shame
"At primary school, when I vomited in front of others in the middle  á of a lesson.",shame
"When I made the same mistake that I had accused someone else of, and á this was obvious to a third pereson.",shame
When I was caught stealing money from my father.,shame
When my mother caught me masturbating.,shame
"When I complained to my mother about how untidy the kitchen á loooked, she boxed my ears ( this had never happened before).",shame
When I asked a friend to return the money that I had loaned her á and then remembered that she had repayed me in several ways.,shame
When I forgot about a meeting at work.,shame
When I as a child of 9 or 10 I was playing doctor with the á neighbours boys their mother caught us.,shame
Spots on the seat covers of my husband's car.,shame
Confession to my parents about my involvement in a moped theft.,shame
When I talked maliciously about a colleague at work to someone á else.  Immediately afterwards I felt ashamed.,shame
I made a comment and it was interpreted completely differently á from what I had meant.  When I said it I realized how my mother á had understood it.,shame
When I was a child it was found out that I had taken off my á clothes outdoors.  It was summer and my friend and I were out á in the woods.  It had felt exciting at that time.  My parents á discovered that my trousers were back to front and I felt á ashamed.,shame
"When relatives have acted strangely, and unfriendly towards me.",shame
A customer at the shop where I worked came in and asked if the á goods that he had ordered had arrived.  I had totally á forgotten about this order and I tried to offer weak excuses.,shame
When I was an evening school teacher it was my job to make the á coffee but I was not able to get the coffee ready on time and I á thus arrived half an hour late to the class.  On top of this the á coffee was undrinkable.,shame
"When as an 8 year old, I wet myself in school.",shame
When I stole a packet of cigarettes from a neighbour  and the á next day I owned up and returned it.,shame
When I was 13 years old I wrote passionate love letters to my á boyfriend and I later found out that his sister had read them.,shame
About Sweden's arms exports.,shame
When friends found out that I had been lying about where I had á been on a particular occasion.,shame
"When I was young, about 6 or 7, I did not make it to the toilet á on time.  I hid the dirty trousers in the cellar as I feared itá being discovered by my parents.",shame
On the train a drunk person touched my baby and I reacted very á disapprovingly.  I felt ashamed later as the person had not been á aggressive though he could have been.,shame
When I was given detention at secondary school.,shame
"My behaviour at a recent party.  I passed out early, luckily.",shame
When I excreted on the mat instead of the potty.,shame
[ No response.],shame
[ No response.],shame
[ No response.],shame
[ No response.],shame
"I fell on the ground while crossing the street.  My cap covered á my eyes and I felt quite \difficult\"".""",shame
"I insulted a couple of good friends of mine and even tried to hit á them when I was drunk.  The next day, I was ashamed of course.",shame
I was wearing slippery shoes and I tumbled down in a place where á there were many people walking by.,shame
I lied to someone and some time later this person found out that á I had not told him the truth.,shame
I had lied to a person because I had thought that I could not á tell him the truth. When he found out he was not angry but á understanding. We talked the whole thing over.,shame
"Quite recently I realized that I had had some erroneous views á about life. For instance, I had always lived for other people, á had forgotten my own person and suppressed my own feelings. I was á ashamed because I had not been concious of that until I had a á conversation about it with a person.",shame
"I was working in a job in which I could not work quickly enough, á and was told that my work was not up to standard.",shame
When I got a bad result for one of my assignments.,shame
"At using other people, because of sexual experience that was á using another to the detriment of both. Anxiety that I may have á affected another for the worst.",shame
